protein,_pdbx_database_status.recvd_initial_deposition_date ,_entity_src_gen.pdbx_gene_src_scientific_name ,_entity_src_gen.pdbx_gene_src_ncbi_taxonomy_id ,_entity_src_gen.pdbx_host_org_scientific_name ,_entity_src_gen.pdbx_host_org_ncbi_taxonomy_id ,_exptl_crystal.density_Matthews ,_exptl_crystal.density_percent_sol ,_exptl_crystal_grow.pH ,_exptl_crystal_grow.temp ,_diffrn.ambient_temp ,_diffrn_detector.pdbx_collection_date ,_diffrn_radiation_wavelength.wavelength ,_reflns.d_resolution_high ,_reflns.d_resolution_low ,_reflns.pdbx_redundancy ,_refine.ls_d_res_high ,_refine.ls_d_res_low ,_refine.ls_R_factor_obs ,_refine.ls_R_factor_R_free ,_refine.ls_R_factor_R_work ,_refine.pdbx_ls_cross_valid_method ,_refine.pdbx_method_to_determine_struct ,_refine.pdbx_solvent_vdw_probe_radii ,_refine.pdbx_solvent_shrinkage_radii ,_refine_hist.d_res_high ,_refine_hist.d_res_low ,_refine_hist.pdbx_number_atoms_protein ,_refine_hist.pdbx_number_atoms_ligand ,_refine_hist.number_atoms_solvent 
2end,1994-08-08,'ENTEROBACTERIA PHAGE T4',10665,,,1.93,36.37,,,,,,,,,1.45,6.0,0.1610000,,,,,,,1.45,6.0,1129,0,172
3rbs,2011-03-29,'HOMO SAPIENS',9606,'ESCHERICHIA COLI',469008,2.63,53.26,7.5,292,100,2007-09-10,0.91508,1.85,25,6.9,1.850,23.495,0.1903,0.2390,0.1888,,SAD,1.30,1.06,1.850,23.495,1656,20,178
4cd5,2013-10-30,'CELLVIBRIO JAPONICUS',498211,'ESCHERICHIA COLI',511693,2.81,56,5.6,,100,2012-07-07,0.97630,1.10,32.00,15.3,1.10,73.19,0.15273,0.17213,0.15171,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.10,73.19,2935,27,494
2a6z,2005-07-04,'SACCHAROMYCES CEREVISIAE',4932,'ESCHERICHIA COLI BL21(DE3)',469008,2.0,36.8,6.3,283,100,2004-01-15,0.9779,1.00,50,3.6,1.00,10.00,0.13,0.163,0.13,THROUGHOUT,'MOLECULAR REPLACEMENT',,,1.00,10.00,1773,0,320
3dk9,2008-06-24,'HOMO SAPIENS',9606,'ESCHERICHIA COLI',562,2.67,54.01,7.00,298,100.0,2000-03-19,1.0,0.950,50.000,,0.95,50.00,0.123,0.152,,'FREE R',.,,,0.95,50.00,3496,68,810
4auk,2012-05-18,'ESCHERICHIA COLI',83333,'ESCHERICHIA COLI',469008,2.46,49.93,8.5,,100,2011-12-15,1.04,1.90,20.10,4.9,1.900,20.118,0.1661,0.2065,0.1639,,'MOLECULAR REPLACEMENT',1.20,0.98,1.900,20.118,5743,157,552
4yzg,2015-03-25,'ARABIDOPSIS THALIANA',3702,'ESCHERICHIA COLI BL21(DE3)',469008,2.35,47.69,6.5,289,100,2013-11-28,1.0,1.6,50,3.8,1.600,26.731,0.1809,0.2033,0.1797,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.00,0.73,1.600,26.731,4582,14,574
3gwk,2009-04-01,'STREPTOCOCCUS AGALACTIAE SEROGROUP V',208435,'ESCHERICHIA COLI',469008,2.92,57.93,8.0,297.0,100,2008-08-02,0.900,1.300,50,10.8,1.300,37.096,0.148,0.188,0.147,,'MOLECULAR REPLACEMENT',1.110,0.900,1.300,37.096,1520,5,455
3zzp,2011-09-02,'THERMUS THERMOPHILUS',274,'ESCHERICHIA COLI',511693,1.56,20.9,6.5,,100,2009-03-13,1.038,0.96,20.00,6.0,0.96,20.00,0.1129,0.1369,,'FREE R','MOLECULAR REPLACEMENT',,,0.96,20.00,606,0,129
4q6j,2014-04-22,'LISTERIA MONOCYTOGENES',169963,'ESCHERICHIA COLI',469008,2.58,52.37,7.5,289,100,2013-06-14,0.97921,1.37,50,4.5,1.369,30.069,0.140,0.169,0.137,THROUGHOUT,SAD,1.11,0.90,1.369,30.069,3983,72,393
3bod,2007-12-17,,,,,1.82,32.39,9.0,293,100,2007-06-08,0.9793,1.7,30,6.5,1.700,20.000,0.178,0.220,0.176,THROUGHOUT,,1.400,0.800,1.700,20.000,1393,1,188
2zzs,2009-02-24,'VIBRIO PARAHAEMOLYTICUS',223926,'ESCHERICHIA COLI',562,2.09,41.17,4.2,293.0,100,2008-02-05,1.0000,1.80,20.0,,1.80,20.00,0.19519,0.24213,0.19269,THROUGHOUT,'MOLECULAR REPLACEMENT',,,1.80,20.00,18378,1400,1624
5kdw,2016-06-08,'PSEUDOMONAS AERUGINOSA (STRAIN ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)',208964,,866768,3.41,63.92,9,291,100,2015-07-08,0.97949,1.85,100.09,3.6,1.85,100.09,0.15481,0.18638,0.15315,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.85,100.09,13549,205,2060
4cp9,2014-02-04,,,,,2.63,53.3,8.5,,100,2013-07-26,0.87260,1.65,48.47,5.4,1.65,48.47,0.15665,0.18362,0.15525,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.65,48.47,3614,194,418
4e2z,2012-03-09,'MICROMONOSPORA CHALCEA',1874,'ESCHERICHIA COLI',562,2.41,48.90,7.5,298,100,2011-05-07,1.54178,1.4,38.0,4.3,1.41,38.0,0.19162,0.21680,0.19027,THROUGHOUT,'MOLECULAR REPLACEMENT',1.40,0.80,1.41,38.0,3160,66,461
3cz6,2008-04-28,'SACCHAROMYCES CEREVISIAE',4932,'ESCHERICHIA COLI',,2.27,45.78,,,,2005-12-02,0.9818,1.85,50,,1.85,50,,0.199,0.175,,SAD,,,1.85,50,2464,24,326
4fgq,2012-06-04,'LEGIONELLA PNEUMOPHILA SUBSP. PNEUMOPHILA',272624,'ESCHERICHIA COLI',469008,2.66,53.73,7.0,278,100,2010-12-02,0.9771,1.645,50,,1.645,28.335,0.1900,0.2202,0.1889,,'MOLECULAR REPLACEMENT',0.80,0.47,1.645,28.335,2877,0,511
5gj7,2016-06-28,,521098,'ESCHERICHIA COLI',562,2.62,53.00,,300,100,2015-10-19,1,1.950,20,6.700,1.9500,20,0.1978,0.2235,0.1964,THROUGHOUT,'MOLECULAR REPLACEMENT',1.1000,0.7000,1.9500,20,6042,0,271
1sr9,2004-03-22,'MYCOBACTERIUM TUBERCULOSIS',1773,'ESCHERICHIA COLI',562,2.02,39.11,6.25,291,113,2003-07-08,1.5418,1.9,80,,2.0,30,0.17,0.197,0.169,,MAD,,,2.0,30,8668,19,466
2b3f,2005-09-20,'THERMUS THERMOPHILUS HB27',262724,'ESCHERICHIA COLI',562,2.6,52,5.6,290,100,2005-03-15,0.97917,1.57,103,6.500,1.560,103.140,0.176,0.205,0.174,THROUGHOUT,SAD,1.200,0.800,1.560,103.140,18208,72,2625
5bxg,2015-06-08,'PEPTOCLOSTRIDIUM DIFFICILE',272563,'ESCHERICHIA COLI',562,3.26,62.25,,277,100,2015-05-15,0.97923,1.90,49.453,6.253,1.9000,49.453,0.1663,0.1891,0.1651,THROUGHOUT,SAD,,,1.9000,49.453,1217,12,243
1ml4,2002-08-30,'PYROCOCCUS ABYSSI',29292,'ESCHERICHIA COLI',562,2.52,50.87,6.8,292,100,2001-09-24,0.84,1.8,25,2.38,1.8,25.0,0.176,0.212,0.172,RFREE,'MOLECULAR REPLACEMENT',,,1.8,25.0,2450,16,77
1pn0,2003-06-12,'TRICHOSPORON CUTANEUM',5554,'ESCHERICHIA COLI',562,2.62,53.00,,,100,2001-06-17,0.8452,1.68,20,2.1,1.70,19.96,0.15698,0.17988,0.15698,THROUGHOUT,'FOURIER SYNTHESIS',1.40,0.80,1.70,19.96,20840,244,2688
3ou2,2010-09-14,'STREPTOMYCES LURIDUS',67320,'ESCHERICHIA COLI',562,2.36,47.97,8.0,273,100,2008-10-10,0.9796,1.5,33.30,8.0,1.50,25.00,0.19907,0.22132,0.19785,THROUGHOUT,'MOLECULAR REPLACEMENT',1.40,0.80,1.50,25.00,1617,26,199
1pwa,2003-07-01,'HOMO SAPIENS',9606,'ESCHERICHIA COLI',562,2.34,47.52,7.0,291,100,2003-05-16,0.975,1.3,25,12.08,1.30,23.33,0.1807,0.1954,0.1798,THROUGHOUT,'MOLECULAR REPLACEMENT',1.40,0.80,1.30,23.33,950,19,267
5gv1,2016-09-01,'TERMITE GUT METAGENOME',433724,'ESCHERICHIA COLI',562,1.90,35.38,6.5,298,100,2013-01-14,1.54,1.500,30,2.270,1.5000,29.91,0.1902,0.2002,0.1897,THROUGHOUT,'MOLECULAR REPLACEMENT',1.4000,0.8000,1.5000,29.91,2131,0,416
1sau,2004-02-09,'ARCHAEOGLOBUS FULGIDUS',224325,'ESCHERICHIA COLI',562,1.80,31.23,9.50,277,100.0,2002-07-11,0.9393,1.100,20.000,5.000,1.12,20.00,0.109,0.137,,THROUGHOUT,SAD,,,1.12,20.00,941,0,149
4j6o,2013-02-11,'CLOSTRIDIUM THERMOCELLUM',203119,'ESCHERICHIA COLI',469008,2.02,38.98,6.5,300,130,2013-01-24,1.1,1.6,100,4.7,1.60,38.687,0.1658,0.2057,0.1637,,SAD,1.10,0.80,1.60,38.687,4084,138,353
5fzo,2016-03-15,,,,,2.69,54.26,8.5,,100,2015-11-30,0.96859,1.84,55.46,6.6,1.840,55.460,0.1945,0.2314,0.1925,,'MOLECULAR REPLACEMENT',1.11,0.90,1.840,55.460,5338,16,502
4rw0,2014-11-30,'VEILLONELLA PARVULA DSM 2008',479436,'ESCHERICHIA COLI',562,4.27,71.21,7,293,100,2014-09-14,0.9794,2.0,36,5.9,2.00,36.00,0.15881,0.18628,0.15735,THROUGHOUT,SAD,1.20,0.80,2.00,36.00,2882,14,343
5u23,2016-11-29,'CAMPYLOBACTER JEJUNI',197,'ESCHERICHIA COLI',562,2.16,43.03,7,293,100,2016-09-02,1.5418,1.45,50,3.2,1.45,29.92,0.12853,0.15340,0.12724,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.45,29.92,11791,244,1593
3cp5,2008-03-31,'RHODOTHERMUS MARINUS',29549,'ESCHERICHIA COLI',562,1.96,37.20,2.2,293,100,2006-09-24,0.934,1.23,42.41,9.3,1.24,10.00,0.1299,0.1744,,'FREE R',SAD,,,1.24,10.00,951,48,168
4mvk,2013-09-24,'HOMO SAPIENS',9606,'ESCHERICHIA COLI',562,2.07,40.69,6.5,293,100,2010-05-18,0.91841,1.500,42.571,7.100,1.5000,42.5700,0.1654,0.1857,0.1654,THROUGHOUT,'MOLECULAR REPLACEMENT',1.2000,0.8000,1.5000,42.5700,1441,0,157
2pie,2007-04-13,'HOMO SAPIENS',9606,'ESCHERICHIA COLI',562,2.39,48.51,8.0,277,100,2006-07-11,0.979462,1.350,50.000,9.000,1.350,50,0.182,0.198,0.181,THROUGHOUT,'MOLECULAR REPLACEMENT',1.400,0.800,1.350,50,1239,0,190
4ghn,2012-08-08,'BACTEROIDES UNIFORMIS',411479,'ESCHERICHIA COLI',562,3.20,61.59,4.6,277,100,2012-07-17,0.9795,1.50,17.932,3.600,1.5000,17.932,0.1359,0.1707,0.1341,THROUGHOUT,SAD,1.4000,0.8000,1.5000,17.932,3118,12,554
3m1x,2010-03-05,'ENTAMOEBA HISTOLYTICA',294381,'ESCHERICHIA COLI',562,1.69,27.25,3.5,290,100,2010-02-25,0.979464,1.20,54.09,6.000,1.20,54.085,0.107,0.131,0.106,THROUGHOUT,'MOLECULAR REPLACEMENT',1.40,0.80,1.20,54.085,919,14,171
1nnf,2003-01-13,'HAEMOPHILUS INFLUENZAE',727,'ESCHERICHIA COLI',562,1.74,28.77,8.2,293.0,100.0,2002-06-29,1.0,1.10,105.41,,1.10,105.41,0.15934,0.1804,0.15823,THROUGHOUT,'MOLECULAR REPLACEMENT',1.4,0.80,1.10,105.41,2342,21,359
4jqp,2013-03-20,'BURKHOLDERIA PHYMATUM',391038,'ESCHERICHIA COLI',562,2.35,47.74,7.5,289,100,2013-03-13,0.97856,1.650,50.0,,1.6500,48.9100,0.1490,0.1736,0.1477,THROUGHOUT,'MOLECULAR REPLACEMENT',1.2000,0.8000,1.6500,48.9100,4868,10,796
3t4s,2011-07-26,'ARABIDOPSIS THALIANA',3702,'ESCHERICHIA COLI',562,2.51,50.92,5.0,298,100,2010-07-14,0.99988,1.60,19.59,10.2,1.60,19.59,0.17879,0.19952,0.17769,THROUGHOUT,'MOLECULAR REPLACEMENT',1.40,0.80,1.60,19.59,4205,39,549
4zgp,2015-04-23,'SCHIZOSACCHAROMYCES POMBE',4896,'ESCHERICHIA COLI',469008,2.70,54.42,5,297,100,2014-05-28,0.98,1.85,43.2,3.0,1.85,43.2,0.1899,0.2205,0.1883,THROUGHOUT,'MOLECULAR REPLACEMENT',1.11,0.90,1.85,43.2,4101,27,331
3s5m,2011-05-23,'PLASMODIUM FALCIPARUM',137071,'ESCHERICHIA COLI',469008,2.32,46.90,6.2,298,100,2010-07-14,0.9724,1.51,29.2,4.4,1.550,29.2,0.1796,0.2143,0.1789,THROUGHOUT,MIR,0.90,0.77,1.550,29.2,8980,3,1103
1hjs,2003-02-27,'THIELAVIA HETEROTHALLICA',78579,'ASPERGILLUS ORYZAE',5062,2.43,49.38,7.50,,100.0,2001-11-15,1.07,1.880,20.000,4.400,1.87,19.84,.194,.208,.194,THROUGHOUT,OTHER,,,1.87,19.84,10416,217,643
5hfd,2016-01-06,'RATTUS NORVEGICUS',10116,'ESCHERICHIA COLI',469008,2.14,42.6,7.0,289,100,2012-02-18,0.9793144,1.600,28.233,15.4,1.600,28.233,0.1827,0.1968,0.1811,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.11,0.90,1.600,28.233,892,0,127
3mxz,2010-05-08,'ARABIDOPSIS THALIANA',3702,'ESCHERICHIA COLI',562,1.94,36.59,4.6,289,100,2007-10-13,0.80150,1.599,20.000,,1.599,17.683,0.177,0.208,0.176,,'MOLECULAR REPLACEMENT',1.110,0.900,1.599,17.683,810,8,188
3f14,2008-10-27,'CYTOPHAGA HUTCHINSONII ATCC 33406',269798,'ESCHERICHIA COLI',562,2.21,44.39,8.5,277,100,2008-08-03,,1.45,25.933,7.16,1.450,25.933,0.171,0.181,0.171,THROUGHOUT,MAD,1.200,0.800,1.450,25.933,873,18,106
4wpg,2014-10-18,'STREPTOCOCCUS PYOGENES',1314,'ESCHERICHIA COLI BL21(DE3)',469008,2.25,45.45,6.5,293,100,2012-11-08,0.89,1.1,43.8,3.7,1.10,43.77,0.13020,0.15494,0.12890,THROUGHOUT,,1.20,0.80,1.10,43.77,2268,21,468
1r0u,2003-09-23,'BACILLUS SUBTILIS',1423,'ESCHERICHIA COLI',562,2.75,55.20,5.4,289,100,2003-08-01,,1.7,50,11.6,1.75,45.17,0.1855,0.2118,0.1846,,MAD,1.40,0.80,1.75,45.17,1126,6,196
1h4a,2003-02-25,,,,,1.94,39,7.00,,100.0,2001-09-15,0.934,1.150,28.330,4.600,1.15,27.02,0.157,0.182,0.155,THROUGHOUT,'MOLECULAR REPLACEMENT',,,1.15,27.02,1444,0,276
1ys1,2005-02-06,,,,,2.24,45.20,6.5,293,100,2000-05-29,.,1.1,44.42,4.68,1.10,44.42,0.14987,0.15841,0.14943,THROUGHOUT,'MOLECULAR REPLACEMENT',1.40,0.80,1.10,44.42,2331,20,147
2nxf,2006-11-17,'DANIO RERIO',7955,'ESCHERICHIA COLI',562,3.0,57.4,,293,100,2006-11-08,,1.700,48.276,13.600,1.700,48.276,0.162,0.18,0.161,THROUGHOUT,MAD,1.200,0.800,1.700,48.276,2524,12,354
3ihv,2009-07-30,'BACTEROIDES THETAIOTAOMICRON VPI-5482',226186,'ESCHERICHIA COLI',562,2.42,49.20,9.1,277,100,2009-04-15,,1.70,29.748,,1.700,29.748,0.163,0.193,0.162,THROUGHOUT,MAD,1.200,0.800,1.700,29.748,8554,88,1248
5ghu,2016-06-20,'ESCHERICHIA COLI K-12',83333,'ESCHERICHIA COLI',562,2.99,58.91,4.6,277,100,2011-09-25,1.5417,1.630,78.838,13.100,1.6300,22.0090,0.1686,0.1863,0.1677,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.1100,0.9000,1.6300,22.0090,1550,44,249
3wdb,2013-06-14,'MYCOBACTERIUM TUBERCULOSIS',1773,'ESCHERICHIA COLI',562,2.40,48.71,7.5,291,298,2011-02-01,1.0,1.37,50,,1.37,30.00,0.1455,0.1821,0.1434,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.37,30.00,1144,3,170
3h7i,2009-04-27,'ENTEROBACTERIA PHAGE T4',10665,'ESCHERICHIA COLI',562,2.48,50.49,6.5,298,100,,1.00,1.50,45.0,5.8,1.502,35.989,0.1809,0.2130,0.1799,,'MOLECULAR REPLACEMENT',1.11,0.90,1.502,35.989,2481,10,341
1kcq,2001-11-09,'HOMO SAPIENS',9606,'ESCHERICHIA COLI',562,2.39,48.43,4.6,290,100.0,2000-09-04,1.200,1.65,43.033,3.3,1.65,22.25,0.18,0.233,0.177,THROUGHOUT,'MOLECULAR REPLACEMENT',,,1.65,22.25,794,4,130
4dif,2012-01-30,'STREPTOMYCES NODOSUS',40318,'ESCHERICHIA COLI',562,2.40,48.70,6.75,295,100,2011-09-10,1.2130,1.52,50,1.9,1.521,50.00,0.19967,0.22390,0.19838,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.521,50.00,6938,102,613
5uj6,2017-01-17,'BACTEROIDES UNIFORMIS STR. 3978 T3 II',1339349,'ESCHERICHIA COLI',562,2.41,49.03,,293,100,2016-04-17,1.033200,1.9,29.624,10.9,1.900,29.624,0.1440,0.1802,0.1435,'FREE R-VALUE',MIR,1.11,0.90,1.900,29.624,13575,40,1775
1wky,2004-06-15,'BACILLUS SP.',244966,'BACILLUS SUBTILIS',1423,2.26,45.6,6.0,277,100,2004-03-13,1.0000,1.65,50.0,7.3,1.65,44.15,0.178,0.2,0.178,THROUGHOUT,'MOLECULAR REPLACEMENT',,,1.65,44.15,3463,5,376
1k4i,2001-10-08,'MAGNAPORTHE GRISEA',148305,'ESCHERICHIA COLI BL21(DE3)',469008,2.09,41.02,6.5,295,113,2001-02-08,1.00,0.98,30.0,7.4,0.98,25.0,,0.1960000,0.1780000,,'FOURIER SYNTHESIS',,,0.98,25.0,1631,12,278
2de3,2006-02-08,'RHODOCOCCUS SP.',54064,'ESCHERICHIA COLI',562,2.30,47.20,7.00,,90.0,,0.9780,1.600,54.23,,1.60,54.23,0.18,0.196,0.18,,'MOLECULAR REPLACEMENT',,,1.60,54.23,5225,41,577
5j1g,2016-03-29,'HOMO SAPIENS',9606,'ESCHERICHIA COLI BL21(DE3)',469008,3.32,64,7.7,298,100,2015-04-19,0.97915,1.8,45.3,6.6,1.800,45.283,0.1888,0.2185,0.1873,'FREE R-VALUE',SIRAS,1.11,0.90,1.800,45.283,3615,36,349
3qf7,2011-01-21,,,,,2.32,46.95,8.5,292,100,,0.9334,1.90,45.63,,1.900,36.170,0.1581,0.1907,0.1570,,'MOLECULAR REPLACEMENT',1.11,0.90,1.900,36.170,6314,64,487
5trq,2016-10-27,'HAPALOSIPHON WELWITSCHII UTEX B 1830',1433842,'ESCHERICHIA COLI BL21(DE3)',469008,2.30,46.43,7.5,293,100,2016-07-16,0.92819,1.300,38.220,3.500,1.3000,38.2170,0.1885,0.2072,0.1875,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.1100,0.9000,1.3000,38.2170,4400,54,511
1l3k,2002-02-27,'HOMO SAPIENS',9606,'ESCHERICHIA COLI',562,2.08,40.9,8.5,,100,1998-01-01,0.90,1.1,50.0,3.0,1.10,25.78,0.1560000,0.1940000,0.1550000,'FREE R',,,,1.10,25.78,1397,0,227
3unc,2011-11-15,,,,,2.63,53.16,7.5,293.0,93,2001-03-14,1.000,1.65,20.0,4.3,1.65,20.0,,0.1962,0.1772,SHELLS,'MOLECULAR REPLACEMENT',,,1.65,20.0,19998,352,1966
4yg0,2015-02-25,'HUMAN ROTAVIRUS A',10941,'ESCHERICHIA COLI',469008,1.96,37.17,8.0,293,100,2014-02-14,0.977408,1.28,31.02,8.1,1.285,31.02,0.1721,0.1994,0.1706,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.11,0.90,1.285,31.02,1320,48,286
2ww5,2009-10-21,'STREPTOCOCCUS PNEUMONIAE',171101,'ESCHERICHIA COLI',511693,2.74,55.1,,,100,2008-10-02,0.9800,1.61,72.93,3.5,1.61,72.93,0.18477,0.20417,0.18327,THROUGHOUT,SAD,1.20,0.80,1.61,72.93,3645,93,565
3dml,2008-07-01,'PARACOCCUS DENITRIFICANS',266,'ESCHERICHIA COLI',562,2.36,47.81,5.4,291,100,2006-09-22,,1.9,20.71,6.3,1.90,20.71,0.15668,0.20124,0.1544,THROUGHOUT,MAD,1.40,0.80,1.90,20.71,799,0,162
5c0p,2015-06-12,,226186,'ESCHERICHIA COLI',469008,2.27,45.91,8.5,286,100,2013-10-25,0.97918,1.53,50,3.7,1.532,30.133,0.1498,0.1638,0.1491,'FREE R-VALUE',SAD,1.11,0.90,1.532,30.133,2256,35,293
4yaa,2015-02-17,'YERSINIA ENTEROCOLITICA',630,'ESCHERICHIA COLI',511693,2.13,42.31,7.5,294,194,2012-02-22,0.97946,1.050,50.000,8.900,1.05,34.13,0.129,0.140,0.128,,'MOLECULAR REPLACEMENT',0.90,0.60,1.05,34.13,2164,9,447
5azb,2015-09-30,'ESCHERICHIA COLI',83333,'ESCHERICHIA COLI',562,2.80,56.08,,293,100,2013-10-26,0.9200,1.600,50.000,12.300,1.6,32.426,0.1813,0.2218,0.1791,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.10,0.70,1.6,32.426,2292,237,103
2wny,2009-07-21,'METHANOTHERMOBACTER THERMAUTOTROPHICUS',145262,'ESCHERICHIA COLI',511693,2.6,52,7.5,,100,2006-07-25,0.97620,1.95,25.00,6.2,1.95,24.23,0.19227,0.24705,0.19104,THROUGHOUT,'MOLECULAR REPLACEMENT',1.40,0.80,1.95,24.23,2246,2,158
4u5w,2014-07-25,,,,,2.63,53.22,6.5,277.15,100,2012-03-14,1.00,1.86,50.0,4.0,1.86,26.377,0.1699,0.1948,0.1686,THROUGHOUT,'MOLECULAR REPLACEMENT',1.10,0.90,,,,,
4r2x,2014-08-13,'SHEWANELLA ONEIDENSIS',211586,'ESCHERICHIA COLI',562,2.16,43.06,5.5,293.0,100.0,2011-05-20,0.800,0.930,79.350,5.3,0.93,29.66,0.150,0.164,0.149,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,0.93,29.66,10834,158,1092
5vnx,2017-05-01,'BURKHOLDERIA MULTIVORANS (STRAIN ATCC 17616 / 249)',395019,'ESCHERICHIA COLI',562,3.10,60,8.5,290,100,2016-06-22,0.97872,1.650,44.383,7.494,1.6500,44.3830,0.1459,0.1673,0.1456,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.1100,0.9000,1.6500,44.3830,8646,92,1445
4pw0,2014-03-18,'CHITINOPHAGA PINENSIS',485918,'ESCHERICHIA COLI',469008,3.26,62.29,8.5,297,100,2014-03-06,0.9792,1.480,37.2,5.100,1.4800,37.2,0.1050,0.1333,0.1035,THROUGHOUT,SAD,1.2000,0.8000,1.4800,37.2,2170,6,374
4wka,2014-10-02,'HOMO SAPIENS',9606,'HOMO SAPIENS',9606,2.18,43.68,,290,100,2014-07-03,0.8,0.95,50,12.6,0.950,42.663,0.1129,0.1227,0.1123,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.11,0.90,0.950,42.663,2909,20,567
3cvo,2008-04-18,'SILICIBACTER POMEROYI DSS-3',246200,'ESCHERICHIA COLI',562,2.79,55.98,6.9,277,100,2008-02-28,,1.80,29.630,3.200,1.800,29.630,0.170,0.194,0.168,THROUGHOUT,MAD,1.200,0.800,1.800,29.630,6003,213,496
5k4b,2016-05-20,'NASONIA VITRIPENNIS',7425,'ESCHERICHIA COLI',562,2.21,44.43,6.5,291,80,2015-06-29,1.11586,1.399,48.06,15.8,1.399,48.028,0.1748,0.1931,0.1745,'FREE R-VALUE',SAD,1.11,0.90,1.399,48.028,5837,3,910
4de9,2012-01-20,'BACILLUS SUBTILIS',1423,'ESCHERICHIA COLI',562,2.32,46.89,7.5,295,100,2011-02-27,0.9795,1.787,47.5,,1.787,32.870,0.1964,0.2186,0.1951,,'MOLECULAR REPLACEMENT',1.10,0.86,1.787,32.870,1888,49,211
5d7z,2015-08-14,'ZEA MAYS',4577,'ESCHERICHIA COLI',562,2.65,53.60,9.7,298,100,2014-06-10,1.12709,1.73,38.8,4.7,1.73,38.8,0.16802,0.20213,0.16614,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.73,38.8,2201,42,146
4ate,2012-05-06,'ZOBELLIA GALACTANIVORANS',63186,'ESCHERICHIA COLI',469008,2.09,41.25,4.6,,100,2008-03-25,0.954,1.10,30.50,10.5,1.10,25.86,0.12495,0.15176,0.12350,THROUGHOUT,MAD,1.40,0.80,1.10,25.86,2100,7,450
4rfu,2014-09-27,'EPINEPHELUS COIOIDES NERVOUS NECROSIS VIRUS',204929,'ESCHERICHIA COLI',562,2.80,56.01,6.5,291,100,2014-03-08,1.0,1.2,30,,1.200,20.762,0.1753,0.1807,0.1750,,'MOLECULAR REPLACEMENT',1.11,0.90,1.200,20.762,2739,33,542
5y8e,2017-08-21,'BACILLUS CEREUS F65185',526989,'ESCHERICHIA COLI',562,2.34,47.41,8.0,289,173,2012-12-27,0.9793,1.80,35.33,4.1,1.804,35.327,0.1683,0.1963,0.1668,'FREE R-VALUE',MAD,1.11,0.90,1.804,35.327,1268,0,221
4v2x,2014-10-15,'BACILLUS HALODURANS',86665,'ESCHERICHIA COLI',511693,2.22,45,6.5,,100,2013-10-14,0.9795,1.64,51.27,7.2,1.64,51.27,0.15562,0.18094,0.15430,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.70,1.64,51.27,4334,47,499
4wrp,2014-10-24,'LEGIONELLA PNEUMOPHILA SUBSP. PNEUMOPHILA',272624,'ESCHERICHIA COLI',469008,2.54,51.59,8.5,291,100,2011-08-18,0.97924,1.900,50.000,4.400,1.9000,38.5000,0.1645,0.2054,0.1623,THROUGHOUT,SAD,1.2000,0.8000,1.9000,38.5000,1957,0,189
5d2k,2015-08-05,'PSEUDOMONAS PUTIDA',303,'ESCHERICHIA COLI',469008,2.18,43.57,8.5,291,100,2011-11-17,1.461,1.571,40.780,5.5,1.571,40.780,0.1518,0.1754,0.1505,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.11,0.90,1.571,40.780,3976,80,644
5f1s,2015-11-30,'ONCORHYNCHUS MYKISS',8022,'HOMO SAPIENS',9606,2.90,57.54,6.5,289,100,2012-07-19,0.9537,1.749,38.04,7.7,1.749,38.037,0.1881,0.2148,0.1851,'FREE R-VALUE',SAD,1.11,0.90,1.749,38.037,1614,0,131
2j5g,2006-09-18,,,,,2.18,43.71,5.50,,100.0,2006-02-16,0.93,1.460,50.000,4.400,1.46,154.30,0.151,0.177,0.150,THROUGHOUT,'MOLECULAR REPLACEMENT',1.40,0.80,1.46,154.30,24022,20,4406
3jq0,2009-09-04,'BACTEROIDES VULGATUS ATCC 8482',435590,'ESCHERICHIA COLI',562,2.34,47.55,8.0,277,100,2009-05-08,0.97936,1.13,29.450,5.000,1.130,29.450,0.118,0.137,0.117,THROUGHOUT,SAD,1.400,0.800,1.130,29.450,3866,48,833
